t_ms,u,L_raw,R_raw,FL,FR,Lpwm,Rpwm,gz,left_cnt,right_cnt
384,0.1200,23,10,19,0,580,820,-1.057,-75,-76
436,-0.1200,25,11,0,0,820,580,84.241,-172,-225
489,0.1200,24,9,0,0,580,820,-12.583,-321,-403
541,-0.1200,27,10,1,0,820,580,36.088,-490,-588
594,-0.1200,31,10,1,0,820,580,-27.331,-680,-780
648,-0.1200,31,11,1,0,820,580,-73.011,-907,-950
702,0.1200,22,10,1,0,580,820,-88.904,-1130,-1104
757,0.1200,20,11,1,0,580,820,-16.782,-1353,-1298
812,0.1200,21,10,0,0,580,820,26.195,-1560,-1528
866,0.1200,23,11,1,0,580,820,63.859,-1744,-1770
920,-0.1200,29,10,0,0,820,580,86.363,-1910,-2015
975,-0.1200,33,10,0,0,820,580,6.378,-2107,-2248
1029,-0.1200,32,11,1,0,820,580,-41.240,-2336,-2447
1086,-0.1200,27,12,0,0,820,580,-75.484,-2592,-2635
1143,0.1200,22,11,1,0,580,820,-94.583,-2855,-2805
1199,0.1200,18,11,0,0,580,820,-10.583,-3096,-3003
1255,0.1200,19,11,0,0,580,820,31.737,-3307,-3242
1310,0.1200,21,12,0,0,580,820,73.065,-3492,-3488
1365,-0.1200,25,11,0,0,820,580,88.317,-3660,-3739
1421,-0.1200,26,11,1,0,820,580,-1.927,-3861,-3979
1477,-0.1200,27,11,1,0,820,580,-38.156,-4100,-4185
1534,0.1200,24,10,1,0,580,820,-79.866,-4358,-4372
1590,0.1200,21,12,1,0,580,820,-8.980,-4598,-4581
1645,0.1200,22,10,0,0,580,820,37.142,-4803,-4818
1700,-0.1200,26,12,1,0,820,580,76.898,-4988,-5065
1756,-0.1200,30,11,1,0,820,580,-4.202,-5198,-5302
1812,-0.1200,26,12,0,0,820,580,-49.469,-5439,-5511
1869,0.1200,22,11,1,0,580,820,-67.530,-5697,-5697
1925,0.1200,20,11,1,0,580,820,-3.728,-5935,-5906
1980,0.1200,21,11,0,0,580,820,36.806,-6139,-6145
2035,0.1200,23,11,0,0,580,820,71.157,-6322,-6392
2090,-0.1200,30,12,1,0,820,580,99.035,-6488,-6644
2146,-0.1200,33,11,1,0,820,580,2.592,-6685,-6886
2201,-0.1200,30,11,1,0,820,580,-42.583,-6918,-7090
2258,-0.1200,30,12,0,0,820,580,-71.591,-7175,-7281
2315,-0.1200,25,11,1,0,820,580,-93.133,-7436,-7455
2372,0.1200,19,11,0,0,580,820,-104.492,-7700,-7614
2429,0.1200,11,11,0,0,580,820,-11.331,-7946,-7809
2485,0.1200,20,11,1,0,580,820,37.096,-8156,-8046
2540,0.1200,17,13,0,0,580,820,72.333,-8341,-8294
2595,0.1200,19,11,2,0,580,820,93.783,-8509,-8546
2650,0.1200,24,11,2,0,580,820,107.829,-8662,-8801
2706,-0.1200,33,11,0,0,820,580,115.264,-8803,-9059
2763,-0.1200,41,11,0,0,820,580,23.890,-8990,-9303
2819,-0.1200,40,10,1,0,820,580,-38.476,-9223,-9509
2876,-0.1200,38,11,0,0,820,580,-72.064,-9477,-9697
2933,-0.1200,33,11,0,0,820,580,-91.484,-9736,-9867
2990,-0.1200,25,12,0,0,820,580,-107.851,-9999,-10022
3049,0.1200,19,11,0,0,580,820,-118.125,-10272,-10172
3109,0.1200,16,13,0,0,580,820,-12.568,-10529,-10373
3167,0.1200,16,14,0,0,580,820,39.859,-10746,-10617
3224,0.1200,18,12,0,0,580,820,66.531,-10934,-10872
3281,0.1200,21,11,0,0,580,820,106.317,-11106,-11135
3339,-0.1200,26,10,1,0,820,580,97.661,-11258,-11403
3397,-0.1200,29,9,1,0,820,580,14.714,-11455,-11654
3454,-0.1200,29,11,0,0,820,580,-39.255,-11692,-11869
3514,-0.1200,25,11,0,0,820,580,-75.820,-11962,-12069
3574,0.1200,23,11,0,0,580,820,-83.438,-12238,-12248
3632,0.1200,20,10,2,0,580,820,-4.583,-12487,-12459
3689,0.1200,20,9,1,0,580,820,46.241,-12704,-12703
3745,0.1200,21,11,0,0,580,820,65.111,-12892,-12957
3802,-0.1200,28,11,1,0,820,580,86.821,-13066,-13220
3860,-0.1200,32,9,2,0,820,580,6.485,-13276,-13468
3916,-0.1200,32,10,0,0,820,580,-38.873,-13515,-13675
3976,-0.1200,26,10,0,0,820,580,-74.278,-13785,-13875
4036,0.1200,22,11,0,0,580,820,-93.560,-14062,-14056
4094,0.1200,17,10,0,0,580,820,-3.652,-14310,-14265
4151,0.1200,18,11,1,0,580,820,44.012,-14523,-14511
4208,0.1200,21,9,1,0,580,820,76.577,-14713,-14769
4264,-0.1200,26,11,1,0,820,580,94.424,-14886,-15023
4322,-0.1200,32,10,0,0,820,580,12.226,-15089,-15265
4380,-0.1200,29,9,0,0,820,580,-53.209,-15340,-15480
4438,-0.1200,26,9,0,0,820,580,-115.423,-15605,-15674
4497,0.1200,20,11,0,0,580,820,-94.553,-15881,-15841
4555,0.1200,17,10,2,0,580,820,-3.377,-16130,-16045
4612,0.1200,19,10,0,0,580,820,43.524,-16337,-16287
4669,0.1200,20,10,0,0,580,820,82.195,-16521,-16544
4726,0.1200,22,11,1,0,580,820,107.569,-16686,-16806
4784,-0.1200,32,9,1,0,820,580,113.279,-16836,-17074
4842,-0.1200,40,10,1,0,820,580,19.233,-17028,-17324
4900,-0.1200,42,9,0,0,820,580,-38.324,-17270,-17543
4958,-0.1200,39,11,1,0,820,580,-71.484,-17529,-17739
5017,-0.1200,33,10,0,0,820,580,-88.446,-17801,-17920
5076,-0.1200,26,11,1,0,820,580,-96.003,-18074,-18087
5136,0.1200,18,10,0,0,580,820,-108.370,-18352,-18246
5196,0.1200,16,9,1,0,580,820,-8.156,-18610,-18452
5252,0.1200,15,11,0,0,580,820,37.401,-18821,-18689
5309,0.1200,16,9,0,0,580,820,69.233,-19012,-18947
5365,0.1200,21,10,0,0,580,820,91.722,-19183,-19205
5422,-0.1200,26,9,0,0,820,580,108.440,-19341,-19468
5480,-0.1200,30,11,0,0,820,580,12.012,-19541,-19720
5538,-0.1200,30,10,2,0,820,580,-38.736,-19784,-19940
5597,-0.1200,28,10,0,0,820,580,-71.377,-20052,-20142
5656,0.1200,23,9,0,0,580,820,-81.118,-20324,-20326
5713,0.1200,20,9,0,0,580,820,-3.637,-20571,-20535
5769,0.1200,21,10,1,0,580,820,39.554,-20784,-20776
5826,0.1200,24,11,0,0,580,820,73.722,-20977,-21036
5883,-0.1200,28,11,1,0,820,580,95.081,-21152,-21301
5941,-0.1200,32,11,0,0,820,580,8.317,-21362,-21553
5998,-0.1200,33,11,1,0,820,580,-42.965,-21606,-21773
